section	source_file	source_sha256	epithelial_state	genes_tested	min_p_adenoma_vs_normal	min_FDR_adenoma_vs_normal	adenoma_vs_normal_nominal_p_0_05	adenoma_vs_normal_FDR	adenoma_vs_normal_FDR_0_10	plus_abs_log2FC	plus_cancer_vs_normal_same_direction	plus_cancer_vs_normal_sustained_magnitude	plus_cancer_vs_adenoma_nonopposing_or_plateau	cancer_vs_adenoma_FDR	cancer_vs_normal_FDR	lock_version	module_id	gene	gene_order	canonical_weight	locked_direction	score_version	primary_score_formula	historical_gse161277_score	allowed_sensitivity_score_range	primary_min_mapped_genes	sensitivity_min_mapped_genes	source_candidate_sha256	source_membership_sha256	source_modules_locked_sha256	gene_set_sha256	weighted_signature_sha256	scoring_spec_sha256	bundle_sha256
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	LINC01605	23	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	LINC01748	24	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	LMCD1-AS1	25	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	NKD1	26	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	PARP8	27	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	PTK7	28	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	RNF43	29	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	SNTB1	30	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	SPATA6L	31	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	TBX3	32	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	TBXAS1	33	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	TRAF5	34	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	TSPAN5	35	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
module_lock	results/stage10c/STAGE10C_LOCK_MANIFEST.tsv	0c0ef24f027b0840aa7c174ea3d7933f9a1890f2eef7aeb0e080456add470e05	Stem_progenitor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M02_LOCK_V1_20260731	Stem_progenitor_SB_M02	VWA2	36	0.0277777777777778	lesion_minus_normal_positive	M02_SCORE_V1	equal_weight_mean_TMM_log2CPM_prior2	equal_weight_mean_gene_z_TMM_log2CPM_prior2	equal_weight_gene_z_or_UCell_only	22	29	d30d1127bb319b18684b2b77fdafea87847494813dc80cda7f3d33a406774d18	bd99f958cd3d236854a441039a9b7212d02d4fb8f7a6795552aba4c651e9b24c	bfafb5890927a951d33a68aab1508cf35a7b995ad4906e7b7229ba22bdf9aec2	102117a11069219d9248c00e0a333b2545624bd682593deb37e7e6a239531307	2074853b94c6969cbfc18e4e7d2849b323af6d134d790d35e83f7c08cf216d8e	c8f7aa3921481c8ed5a2f156f2c7c4c70f0d92be0feda85113e04cadbcd96a1f	d4e34472243b0259650aca3123a5df7e767e9a408a409cef08861937f2360a30
