section	source_file	source_sha256	scenario_id	mapped36	mapped35	primary_36of36	sensitivity_29of36	sensitivity_35gene_80pct	status	record_type	qc_mode	annotation_source	compartment	min_cells	scenario_role	score_method	score_role	patient_id	lesion_sample	normal_sample	lesion_score	normal_score	effect_lesion_minus_normal	direction_positive	k_positive	n_pairs	descriptive_mean_effect	ci_lower	ci_upper	p_value	fdr	inferential_unit	reason	P1_effect	P5_effect
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.38268216920737	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1	P1_L	P1_N	3.38416069869594	0.891118283369527	2.49304241532641	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P5	P5_L	P5_N	3.30475946830386	1.05832691187621	2.24643255642765	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_MINUS_INPP5D_SENS_V1	contamination_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	2.36973748587703	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_GENE_Z_SENS	score_sensitivity	P1	P1_L	P1_N	0.548905537738476	-1.35227963433313	1.9011851720716	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_GENE_Z_SENS	score_sensitivity	P5	P5_L	P5_N	0.303900803039697	-1.23308036133016	1.53698116436986	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_GENE_Z_SENS	score_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	1.71908316822073	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_UCELL_SENS	score_sensitivity	P1	P1_L	P1_N	0.0506409594024537	0.0158395118620925	0.0348014475403611	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_UCELL_SENS	score_sensitivity	P5	P5_L	P5_N	0.0567132739082366	0.0153439169609708	0.0413693569472658	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	PRIMARY_ALL_EPI_MIN50	NA	NA	NA	NA	NA	ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	50	primary	M02_UCELL_SENS	score_sensitivity	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	2	2	0.0380854022438135	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN25_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	25	cell_count_sensitivity	M02_SCORE_V1	primary	P1	P1_L	P1_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN25_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	25	cell_count_sensitivity	M02_SCORE_V1	primary	P5	P5_L	P5_N	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	patient	required matched sample score unavailable	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN25_SENS	NA	NA	NA	NA	NA	NOT_ESTIMABLE	direction_summary	primary_qc	independent_broad_annotation	all_epithelial	25	cell_count_sensitivity	M02_SCORE_V1	primary	P1+P5	P1_L;P5_L	P1_N;P5_N	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	patient	two directional patient effects; no population inference	NA	NA
matched_pair_effects	results/stage10c3/STAGE10C3_MATCHED_PAIR_EFFECTS.tsv	7589a26142d443a56a803e5eed7eedecf65bb02005846309145d8c07907afb62	CELL_MIN25_SENS	NA	NA	NA	NA	NA	ESTIMABLE	individual_patient_effect	primary_qc	independent_broad_annotation	all_epithelial	25	cell_count_sensitivity	M02_29OF36_COVERAGE_SENS	coverage_sensitivity	P1	P1_L	P1_N	3.39334282086483	0.891631280066224	2.50171154079861	TRUE	NA	1	NA	NA	NA	NA	NA	patient	individual matched-patient directional effect; no population inference	NA	NA
